Under construction Government senior secondary school, phase-11 ,Mohali	MPHR+9X3 Park No-20, Phase 11, Sector 65, Sahibzada Ajit Singh Nagar	1.72
Guru Nanak Public School	School, Sector 68, Sahibzada Ajit Singh Nagar	2.09
Govt Secondary School KUMBRA	789, Phase 3B1, Sector 68, Kumbra, Sahibzada Ajit Singh Nagar	2.54
Higher Secondary School	MP53+V7X, Sector 85, Sahibzada Ajit Singh Nagar	2.69
Rattan Professional Education College	Mouli Rd, Sector 78, Sahibzada Ajit Singh Nagar	2.71
DAV Public Senior Secondary School, Mohali phase 10	MPQW+GPW, Phase 10, Sector 64, Sahibzada Ajit Singh Nagar	2.89
BMD Public School	Chandigarh Housing Board Flats, sector 63, Chandigarh	3.26
Government High School	3495, Government High School Rd, opposite park, Sector 46C, Sector 46, Chandigarh	4.63
Primary school	PP6C+JC3, Phase 3B-1, Sector 60, Sahibzada Ajit Singh Nagar	4.98
Government High School	MQXC+M4P, 47A, Sector 47, Chandigarh	5.26
Government High School	Apartment Building, Phase 5, Sector 59, Sahibzada Ajit Singh Nagar	5.53
Khalsa College Mohali Of Technology & Business Studies	Madanpur Road, near Petrol pump, Phase 3 A, Sector 53, Sahibzada Ajit Singh Nagar	5.71
Government High School	Phase 3 A, Sector 53, Sahibzada Ajit Singh Nagar, Chandigarh	5.72
manav mangal SMART SCHOOL (Junior)	Sector 91, Sahibzada Ajit Singh Nagar	6.28
The Future University	La Dafter, D-178, Phase 8B, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar	6.29
Bhavan Vidyalaya (Junior Wing)	Sector, opposite to Rajasthan Bhawan, 33D	6.51
Chandigarh Group of Colleges (CGC) - Landran	Sector 112, Landran, Kharar Banur Hwy, Sahibzada Ajit Singh Nagar	6.59
Lovely Professional University Office	625, Franco Hotel Road, Sector 55, Phase 1, Sector 55, Sahibzada Ajit Singh Nagar	6.65
Government Model High School	PQH5+44J, Sector 35D, Sector 35, Chandigarh	7.24
Dashmesh Khalsa College, Zirakpur	National Highway 64, Near Gurudwara Nabha Sahib,Adda Jhungian, Zirakpur, Mohali (S,A.S Nagar)	7.53
Government High School	Unnamed Road, Sector 119, Balongi, Sahibzada Ajit Singh Nagar	7.7
Govt. Model High School	Sector 37 C, Sector 37, Chandigarh	7.72
Government Model High School	22C, Sector 22-C, Chandigarh	7.98
Govt Model sr. sec school	Govt. Model. Sr. Sec. School Sector 39-C	8.25
Government High School	1556, Vidya Path, Sector 38B, Sector 38, Chandigarh	8.69
Sus College	Sector 18D, Sector 18, Chandigarh	8.76
Vivek High School	Vivek High School, Sector 38 B Rd, Sector 38B, Sector 38, Chandigarh	8.88
Ramgarhia Public School	PQFW+6RP, Sector 27D, Sector 27, Chandigarh	8.96
Government High School	PQHR+CG7, Sarovar Path, 19D, Sector 19, Chandigarh	9.02
Government Primary School	9, near, Railway Crossing, Sector 19, Panchkula, Zirakpur	9.15
Gurukul junior	Royale Estate, Ambala - Chandigarh Rd, Zirakpur	9.28
UIET Punjab University	PQX4+6RQ, Sector 25, Chandigarh	9.37
Junior Study School Harmilap Nagar	91 , Harmilap Nagar , Baltana Harmilap Nagar , Baltana, Harmilap Nagar, Industrial Area Phase 2, Panchkula	9.55
Government Senior Secondary School	Ekta Vihar, Sector 19, Panchkula	9.86
Government High School	MR8P+599, Sector 17, Panchkula	10.22
Chitkara Junior Wing	JUNIOR WING, CHITKARA INTERNATIONAL SCHOOL, Sector 25 West, Chandigarh	10.55
Government Senior Secondary School	120-163, B Rd, Sector 17, Panchkula	10.8
Gyandeep public School	238, Sector 18, Panchkula	11.0
Government Primary School	MRPV+72F, Sector 15, Panchkula	11.03
quest college	MJJ7+RR9, Niamian	11.17
Department Of Evening Studies	Panjab University, Sector 14, Arts Block 1, University Gate No 1, Sector 14, Chandigarh	11.25
Govt. P. G. College For Women Sector - 14, Panchkula	MRGW+MQ9, Sector 14, Panchkula	11.31
Government Model Sanskriti Primary School	Part -2, Sector 20, Panchkula	11.49
Vidya Valley School	Behind Jal Vayu Towers Sector 123, New, Sunny Enclave, Kharar	11.61
Government Model High School Pocket no.1 Manimajra Chandigarh	1318, NAC Rd, Morigate, Sector 13, Panchkula	11.76
Government primary school sector 12 Chandigarh	QQ9C+246, Sector 12, Chandigarh	11.8
Government High School	PR4V+4V8, Sector 7, Panchkula	11.82
Christen Senior Secondary School	PJXW+35J, Main Bazar, Kharar	12.05
St. Xaviers Juniors	MV74+7RR, Peer Muchalla Rd, Sector 20, Panchkula	12.24
Ambika College of education	Ambika College Of Education, Badali	12.5
Govt. Primary School, Majatri	MHMX+8FM, Majatri	12.66
